Movie,Month,Day,Release Year,Budget ($m),Domestic Gross ($m),Worldwide Gross ($m),Foreign Gross ($m)
Apollo 18,Sep,2,2011,5,17.686929,26.517819,8.83089
Upside Down,Mar,15,2013,50,0.102118,26.387039,26.284921
Jobs,Aug,16,2013,18,16.13141,26.13141,10
Your Highness,Apr,8,2011,50,21.596445,26.121638,4.525193
Mao's Last Dancer,Aug,20,2010,18,4.80675,25.941437,21.134687
Our Idiot Brother,Aug,26,2011,5,24.81483,25.861249,1.046419
Big Miracle,Feb,3,2012,40,20.1573,25.693998,5.536698
Top Five,Dec,12,2014,12,25.317379,25.514848,0.197469
Elle s'appelait Sarah,Jul,22,2011,14.5,7.6917,25.480031,17.788331
The Last Exorcism Part II,Mar,1,2013,4,15.179303,25.448707,10.269404
The Cold Light of Day,Sep,7,2012,20,3.763583,25.361206,21.597623
Le prénom,Nov,16,2012,11,0.061611,25.307405,25.245794
Grace of Monaco,Dec,1,2015,30,0,25.199891,25.199891
Mr. Turner,Dec,19,2014,14,3.958546,25.187026,21.22848
Aloha,May,29,2015,37,21.05203,24.935799,3.883769
Whiskey Tango Foxtrot,Mar,4,2016,35,23.083334,24.888742,1.805408
Nebraska,Nov,15,2013,12,17.654912,24.76136,7.106448
Lottery Ticket,Aug,20,2010,17,24.719879,24.719879,0
Biutiful,Jan,21,2010,35,5.101237,24.687524,19.586287
Sparkle,Aug,17,2012,10,24.397469,24.660323,0.262854
I Don't Know How She Does It,Sep,16,2011,24,9.659074,24.474463,14.815389
Jodaeiye Nader az Simin,Dec,30,2011,0.8,7.098492,24.426169,17.327677
Warrior,Sep,9,2011,25,13.657115,24.215385,10.55827
Wanderlust,Feb,24,2012,32.5,17.288155,24.159934,6.871779
The Railway Man,Apr,11,2014,18,4.438438,23.91021,19.471772
Snowden,Sep,16,2016,50,19.463078,23.463078,4
Triple 9,Feb,26,2016,20,12.639297,23.39038,10.751083
Before Midnight,May,24,2013,3,8.110621,23.376973,15.266352
Hoodwinked Too: Hood vs. Evil,Apr,29,2011,30,10.143779,23.353111,13.209332
Soul Kitchen,Aug,20,2010,4.9,0.276901,23.347469,23.070568
Beasts of the Southern Wild,Jun,27,2012,1.8,12.795746,23.265132,10.469386
"I Love You, Phillip Morris",Dec,3,2010,13,2.037459,23.014027,20.976568
La Vie d'Adèle – Chapitres 1 & 2,Oct,11,2013,5.25,2.450504,22.937201,20.486697
Baggage Claim,Sep,27,2013,8.5,21.569509,22.885836,1.316327
Enough Said,Sep,18,2013,8,17.550872,22.850872,5.3
Young Adult,Dec,9,2011,12,16.311571,22.750356,6.438785
Polisse,May,18,2012,8.9,0.176988,22.744132,22.567144
Bullet to the Head,Feb,1,2013,55,9.489829,22.597969,13.10814
Trance,Apr,5,2013,16,2.322593,22.594052,20.271459
Winter's Tale,Feb,14,2014,60,12.600231,22.46862,9.868389
Free State of Jones,Jun,24,2016,50,20.810036,22.242337,1.432301
Race,Feb,19,2016,5,19.115191,22.178125,3.062934
Three Kingdoms: Resurrection of the Dragon,Apr,13,2010,20,0,22.13959,22.13959
The Man with the Iron Fists,Nov,2,2012,15,15.63409,22.018988,6.384898
Feichang Xingyun,Sep,20,2013,8,0,21.97,21.97
Just Wright,May,14,2010,12,21.540363,21.867665,0.327302
Melancholia,Nov,11,2011,9.4,3.030848,21.817298,18.78645
Black or White,Dec,3,2014,9,21.571189,21.571189,0
The Rum Diary,Oct,28,2011,45,13.109815,21.544732,8.434917
Our Family Wedding,Mar,12,2010,14,20.255281,21.410546,1.155265
Buried,Sep,24,2010,1.98765,1.044143,21.27029,20.226147
A Haunted House 2,Apr,18,2014,4,17.329487,21.206861,3.877374
The Guard,Jul,29,2011,6,5.359774,21.197454,15.83768
